,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Precipitation,Gage height_Min
74,USGS,02164000,2016-12-13,0.68,0.66,0.02,0.66
75,USGS,02164000,2016-12-14,0.68,0.66,0.00,0.66
76,USGS,02164000,2016-12-15,0.66,0.66,0.00,0.66
77,USGS,02164000,2016-12-16,0.66,0.65,0.00,0.65
78,USGS,02164000,2016-12-17,0.66,0.65,0.01,0.65
79,USGS,02164000,2016-12-18,0.67,0.67,0.05,0.66
80,USGS,02164000,2016-12-19,0.67,0.66,0.00,0.66
81,USGS,02164000,2016-12-20,0.66,0.65,0.00,0.65
82,USGS,02164000,2016-12-21,0.66,0.65,0.00,0.65
83,USGS,02164000,2016-12-22,0.65,0.65,0.00,0.65
84,USGS,02164000,2016-12-23,0.66,0.65,0.00,0.65
85,USGS,02164000,2016-12-24,0.65,0.65,0.00,0.65
86,USGS,02164000,2016-12-25,0.65,0.65,0.00,0.65
87,USGS,02164000,2016-12-26,0.66,0.65,0.02,0.65
88,USGS,02164000,2016-12-27,0.66,0.65,0.00,0.65
89,USGS,02164000,2016-12-28,0.66,0.66,0.00,0.65
90,USGS,02164000,2016-12-29,2.54,1.21,0.75,0.66
91,USGS,02164000,2016-12-30,0.83,0.75,0.00,0.71
92,USGS,02164000,2016-12-31,0.71,0.70,0.00,0.69
93,USGS,02164000,2017-01-01,0.90,0.77,0.29,0.68
94,USGS,02164000,2017-01-02,1.99,1.23,,0.79
95,USGS,02164000,2017-01-03,3.40,1.64,,1.02
96,USGS,02164000,2017-01-04,1.02,0.89,0.00,0.82
97,USGS,02164000,2017-01-05,0.82,0.79,0.00,0.77
98,USGS,02164000,2017-01-06,0.82,0.76,0.14,0.74
99,USGS,02164000,2017-01-07,1.03,0.90,0.00,0.82
100,USGS,02164000,2017-01-08,0.84,0.77,0.00,0.74
101,USGS,02164000,2017-01-09,0.74,0.73,0.00,0.72
102,USGS,02164000,2017-01-10,0.73,0.72,,0.72
103,USGS,02164000,2017-01-11,0.77,0.75,0.05,0.73
104,USGS,02164000,2017-01-12,0.75,0.74,0.00,0.72
105,USGS,02164000,2017-01-13,0.72,0.72,0.00,0.71
106,USGS,02164000,2017-01-14,0.71,0.71,0.00,0.71
107,USGS,02164000,2017-01-15,0.71,0.71,0.00,0.70
108,USGS,02164000,2017-01-16,0.71,0.70,0.00,0.70
109,USGS,02164000,2017-01-17,0.70,0.70,0.00,0.70
110,USGS,02164000,2017-01-18,0.70,0.70,0.00,0.70
111,USGS,02164000,2017-01-19,0.70,0.70,0.00,0.70
112,USGS,02164000,2017-01-20,1.22,0.87,0.32,0.69
113,USGS,02164000,2017-01-21,2.96,1.27,1.07,0.73
114,USGS,02164000,2017-01-22,1.75,1.21,,0.98
115,USGS,02164000,2017-01-23,1.68,1.20,,0.97
116,USGS,02164000,2017-01-24,0.97,0.89,,0.84
117,USGS,02164000,2017-01-25,0.84,0.82,,0.80
118,USGS,02164000,2017-01-26,0.80,0.79,,0.78
119,USGS,02164000,2017-01-27,0.78,0.76,0.00,0.75
120,USGS,02164000,2017-01-28,0.75,0.75,0.00,0.74
121,USGS,02164000,2017-01-29,0.74,0.74,0.00,0.73
122,USGS,02164000,2017-01-30,0.73,0.73,0.00,0.73
123,USGS,02164000,2017-01-31,0.74,0.72,0.00,0.72
124,USGS,02164000,2017-02-01,0.72,0.72,0.00,0.72
125,USGS,02164000,2017-02-02,0.72,0.72,0.01,0.71
126,USGS,02164000,2017-02-03,0.72,0.72,0.00,0.71
127,USGS,02164000,2017-02-04,0.71,0.71,0.00,0.71
128,USGS,02164000,2017-02-05,0.71,0.71,0.00,0.71
129,USGS,02164000,2017-02-06,0.71,0.71,0.00,0.71
130,USGS,02164000,2017-02-07,1.33,0.80,0.47,0.71
131,USGS,02164000,2017-02-08,1.12,0.84,0.03,0.76
132,USGS,02164000,2017-02-09,1.19,0.89,0.34,0.76
133,USGS,02164000,2017-02-10,0.76,0.73,0.00,0.72
134,USGS,02164000,2017-02-11,0.72,0.72,0.00,0.71
135,USGS,02164000,2017-02-12,0.72,0.71,0.00,0.71
136,USGS,02164000,2017-02-13,0.71,0.71,0.00,0.70
137,USGS,02164000,2017-02-14,0.74,0.71,0.00,0.70
138,USGS,02164000,2017-02-15,1.32,0.89,0.36,0.70
139,USGS,02164000,2017-02-16,0.81,0.75,0.00,0.73
140,USGS,02164000,2017-02-17,0.73,0.73,0.00,0.72
141,USGS,02164000,2017-02-18,0.72,0.71,0.00,0.71
142,USGS,02164000,2017-02-19,0.71,0.71,0.00,0.70
143,USGS,02164000,2017-02-20,0.70,0.70,0.00,0.70
144,USGS,02164000,2017-02-21,0.70,0.70,0.03,0.70
145,USGS,02164000,2017-02-22,0.91,0.79,0.17,0.70
146,USGS,02164000,2017-02-23,0.75,0.73,0.00,0.71
147,USGS,02164000,2017-02-24,0.71,0.71,0.00,0.71
148,USGS,02164000,2017-02-25,0.71,0.70,0.00,0.69
149,USGS,02164000,2017-02-26,0.69,0.69,0.00,0.69
150,USGS,02164000,2017-02-27,0.69,0.69,0.00,0.68
151,USGS,02164000,2017-02-28,0.69,0.69,0.00,0.68
152,USGS,02164000,2017-03-01,1.88,0.88,0.59,0.69
153,USGS,02164000,2017-03-02,1.31,0.93,0.00,0.78
154,USGS,02164000,2017-03-03,0.78,0.75,0.00,0.73
155,USGS,02164000,2017-03-04,0.73,0.72,0.00,0.72
156,USGS,02164000,2017-03-05,0.72,0.71,0.00,0.71
157,USGS,02164000,2017-03-06,0.72,0.71,0.04,0.71
158,USGS,02164000,2017-03-07,0.79,0.72,0.06,0.71
159,USGS,02164000,2017-03-08,0.79,0.73,0.00,0.71
160,USGS,02164000,2017-03-09,0.71,0.70,0.00,0.70
161,USGS,02164000,2017-03-10,0.98,0.80,0.28,0.70
162,USGS,02164000,2017-03-11,0.75,0.72,0.01,0.71
163,USGS,02164000,2017-03-12,1.11,0.89,0.35,0.71
164,USGS,02164000,2017-03-13,0.78,0.75,0.10,0.73
165,USGS,02164000,2017-03-14,0.95,0.83,0.08,0.74
166,USGS,02164000,2017-03-15,0.76,0.74,,0.72
167,USGS,02164000,2017-03-16,0.72,0.72,,0.71
168,USGS,02164000,2017-03-17,0.71,0.71,0.00,0.71
169,USGS,02164000,2017-03-18,0.72,0.71,0.00,0.71
170,USGS,02164000,2017-03-19,0.71,0.71,0.00,0.71
171,USGS,02164000,2017-03-20,0.71,0.71,0.00,0.71
172,USGS,02164000,2017-03-21,1.01,0.72,0.28,0.71
173,USGS,02164000,2017-03-22,1.32,0.91,0.01,0.75
174,USGS,02164000,2017-03-23,0.75,0.73,0.00,0.72
175,USGS,02164000,2017-03-24,0.72,0.72,0.00,0.71
176,USGS,02164000,2017-03-25,0.71,0.71,0.00,0.71
177,USGS,02164000,2017-03-26,0.88,0.79,0.13,0.71
178,USGS,02164000,2017-03-27,0.81,0.76,0.00,0.73
179,USGS,02164000,2017-03-28,1.49,0.96,0.38,0.73
180,USGS,02164000,2017-03-29,0.79,0.76,0.00,0.74
181,USGS,02164000,2017-03-30,0.97,0.80,0.48,0.73
182,USGS,02164000,2017-03-31,1.98,1.26,0.40,0.86
183,USGS,02164000,2017-04-01,0.94,0.85,0.00,0.80
184,USGS,02164000,2017-04-02,0.80,0.78,0.00,0.77
185,USGS,02164000,2017-04-03,1.96,1.11,0.47,0.76
186,USGS,02164000,2017-04-04,1.24,0.98,0.00,0.86
187,USGS,02164000,2017-04-05,2.98,1.48,1.11,0.83
188,USGS,02164000,2017-04-06,2.76,1.68,0.01,1.18
189,USGS,02164000,2017-04-07,1.18,1.03,0.00,0.95
190,USGS,02164000,2017-04-08,0.95,0.89,0.00,0.85
191,USGS,02164000,2017-04-09,0.85,0.83,0.00,0.82
192,USGS,02164000,2017-04-10,0.82,0.81,0.00,0.79
193,USGS,02164000,2017-04-11,0.79,0.78,0.00,0.78
194,USGS,02164000,2017-04-12,0.78,0.77,0.00,0.76
195,USGS,02164000,2017-04-13,0.76,0.75,0.00,0.75
196,USGS,02164000,2017-04-14,0.90,0.76,0.07,0.74
197,USGS,02164000,2017-04-15,0.77,0.76,0.00,0.74
198,USGS,02164000,2017-04-16,0.74,0.73,0.00,0.73
199,USGS,02164000,2017-04-17,1.17,0.79,1.12,0.72
200,USGS,02164000,2017-04-18,1.14,0.84,0.03,0.76
201,USGS,02164000,2017-04-19,1.30,1.05,0.23,0.76
202,USGS,02164000,2017-04-20,0.98,0.85,0.00,0.79
203,USGS,02164000,2017-04-21,0.79,0.77,0.03,0.75
204,USGS,02164000,2017-04-22,0.75,0.74,0.01,0.73
205,USGS,02164000,2017-04-23,2.14,1.31,1.38,0.73
206,USGS,02164000,2017-04-24,3.86,2.35,1.46,1.53
207,USGS,02164000,2017-04-25,2.11,1.55,0.00,1.14
208,USGS,02164000,2017-04-26,1.14,1.02,0.00,0.94
209,USGS,02164000,2017-04-27,0.94,0.91,0.05,0.89
210,USGS,02164000,2017-04-28,0.92,0.87,0.00,0.84
211,USGS,02164000,2017-04-29,0.84,0.83,0.00,0.81
212,USGS,02164000,2017-04-30,0.91,0.82,0.03,0.80
213,USGS,02164000,2017-05-01,1.14,0.88,0.23,0.79
214,USGS,02164000,2017-05-02,0.91,0.82,0.00,0.78
215,USGS,02164000,2017-05-03,0.78,0.77,0.00,0.76
216,USGS,02164000,2017-05-04,1.24,0.80,0.22,0.75
217,USGS,02164000,2017-05-05,1.58,1.20,0.24,0.93
218,USGS,02164000,2017-05-06,0.93,0.87,0.10,0.84
219,USGS,02164000,2017-05-07,0.90,0.84,0.00,0.80
220,USGS,02164000,2017-05-08,0.80,0.78,0.00,0.77
221,USGS,02164000,2017-05-09,0.77,0.76,0.00,0.75
222,USGS,02164000,2017-05-10,0.75,0.74,0.00,0.73
223,USGS,02164000,2017-05-11,0.74,0.73,0.00,0.73
224,USGS,02164000,2017-05-12,1.93,0.79,0.22,0.72
225,USGS,02164000,2017-05-13,1.91,0.99,0.00,0.80
226,USGS,02164000,2017-05-14,0.80,0.77,0.00,0.75
227,USGS,02164000,2017-05-15,0.75,0.74,0.00,0.73
228,USGS,02164000,2017-05-16,0.73,0.72,0.00,0.71
229,USGS,02164000,2017-05-17,0.71,0.71,0.00,0.71
230,USGS,02164000,2017-05-18,0.71,0.71,0.00,0.71
231,USGS,02164000,2017-05-19,0.71,0.71,0.00,0.71
232,USGS,02164000,2017-05-20,0.71,0.71,0.12,0.71
233,USGS,02164000,2017-05-21,3.98,2.64,3.40,0.71
234,USGS,02164000,2017-05-22,2.11,1.42,0.03,1.05
235,USGS,02164000,2017-05-23,1.59,1.20,0.67,1.01
236,USGS,02164000,2017-05-24,1.42,1.14,0.32,1.01
237,USGS,02164000,2017-05-25,1.30,1.03,0.00,0.91
238,USGS,02164000,2017-05-26,0.91,0.87,0.00,0.83
239,USGS,02164000,2017-05-27,0.83,0.82,0.00,0.80
240,USGS,02164000,2017-05-28,0.80,0.80,0.00,0.78
241,USGS,02164000,2017-05-29,0.99,0.80,0.02,0.77
242,USGS,02164000,2017-05-30,0.83,0.77,0.01,0.76
243,USGS,02164000,2017-05-31,1.51,0.88,0.07,0.76
244,USGS,02164000,2017-06-01,1.02,0.85,0.00,0.78
245,USGS,02164000,2017-06-02,0.78,0.76,0.00,0.74
246,USGS,02164000,2017-06-03,1.80,0.83,0.05,0.74
247,USGS,02164000,2017-06-04,1.48,0.95,0.87,0.78
248,USGS,02164000,2017-06-05,2.37,1.45,0.62,1.01
249,USGS,02164000,2017-06-06,1.12,0.90,0.15,0.84
250,USGS,02164000,2017-06-07,1.17,0.84,0.00,0.79
251,USGS,02164000,2017-06-08,0.79,0.77,,0.76
252,USGS,02164000,2017-06-09,0.76,0.76,0.00,0.76
253,USGS,02164000,2017-06-10,0.76,0.75,0.00,0.74
254,USGS,02164000,2017-06-11,0.74,0.74,0.00,0.74
255,USGS,02164000,2017-06-12,0.74,0.73,0.00,0.73
256,USGS,02164000,2017-06-13,0.94,0.77,0.25,0.73
257,USGS,02164000,2017-06-14,0.76,0.73,0.03,0.73
258,USGS,02164000,2017-06-15,0.73,0.73,0.00,0.72
259,USGS,02164000,2017-06-16,1.12,0.75,0.00,0.72
260,USGS,02164000,2017-06-17,1.08,0.78,0.00,0.72
261,USGS,02164000,2017-06-18,1.01,0.78,0.05,0.72
262,USGS,02164000,2017-06-19,0.99,0.77,0.01,0.72
263,USGS,02164000,2017-06-20,0.89,0.73,0.63,0.72
264,USGS,02164000,2017-06-21,1.40,0.94,0.13,0.75
265,USGS,02164000,2017-06-22,0.83,0.75,0.54,0.74
266,USGS,02164000,2017-06-23,1.29,0.88,0.02,0.75
267,USGS,02164000,2017-06-24,1.11,0.82,0.24,0.73
268,USGS,02164000,2017-06-25,0.90,0.79,0.00,0.74
269,USGS,02164000,2017-06-26,0.74,0.72,0.00,0.72
270,USGS,02164000,2017-06-27,0.72,0.72,0.00,0.71
271,USGS,02164000,2017-06-28,0.71,0.70,0.00,0.70
272,USGS,02164000,2017-06-29,1.18,0.74,0.43,0.69
273,USGS,02164000,2017-06-30,2.36,1.38,1.29,0.96
274,USGS,02164000,2017-07-01,1.07,0.91,0.01,0.80
275,USGS,02164000,2017-07-02,2.26,0.99,0.16,0.75
276,USGS,02164000,2017-07-03,2.00,1.08,0.00,0.82
277,USGS,02164000,2017-07-04,0.82,0.79,0.03,0.77
278,USGS,02164000,2017-07-05,0.78,0.76,0.00,0.74
279,USGS,02164000,2017-07-06,0.90,0.75,0.69,0.72
280,USGS,02164000,2017-07-07,0.73,0.71,0.02,0.70
281,USGS,02164000,2017-07-08,2.42,0.99,0.41,0.70
282,USGS,02164000,2017-07-09,1.19,0.89,0.00,0.76
283,USGS,02164000,2017-07-10,0.76,0.74,0.00,0.72
284,USGS,02164000,2017-07-11,0.72,0.70,0.00,0.70
285,USGS,02164000,2017-07-12,0.70,0.70,0.00,0.69
286,USGS,02164000,2017-07-13,0.70,0.69,0.00,0.69
287,USGS,02164000,2017-07-14,3.80,0.93,0.00,0.69
288,USGS,02164000,2017-07-15,2.92,1.06,0.02,0.78
289,USGS,02164000,2017-07-16,6.00,1.03,0.01,0.72
290,USGS,02164000,2017-07-17,6.29,1.81,0.85,0.90
291,USGS,02164000,2017-07-18,0.94,0.81,0.01,0.76
292,USGS,02164000,2017-07-19,0.76,0.74,0.00,0.72
293,USGS,02164000,2017-07-20,0.72,0.71,0.00,0.70
294,USGS,02164000,2017-07-21,0.70,0.70,0.00,0.69
295,USGS,02164000,2017-07-22,0.69,0.69,0.00,0.69
296,USGS,02164000,2017-07-23,0.69,0.69,0.00,0.69
297,USGS,02164000,2017-07-24,0.69,0.69,0.00,0.68
298,USGS,02164000,2017-07-25,0.68,0.68,0.00,0.67
299,USGS,02164000,2017-07-26,0.72,0.67,0.00,0.67
300,USGS,02164000,2017-07-27,0.67,0.67,0.00,0.67
301,USGS,02164000,2017-07-28,1.76,0.86,0.00,0.67
302,USGS,02164000,2017-07-29,0.83,0.71,0.00,0.67
303,USGS,02164000,2017-07-30,0.67,0.67,0.00,0.66
304,USGS,02164000,2017-07-31,0.66,0.66,0.00,0.65
305,USGS,02164000,2017-08-01,0.65,0.65,0.00,0.65
306,USGS,02164000,2017-08-02,0.65,0.65,0.00,0.65
307,USGS,02164000,2017-08-03,0.72,0.66,0.00,0.62
308,USGS,02164000,2017-08-04,1.29,0.66,0.00,0.62
309,USGS,02164000,2017-08-05,4.46,1.54,0.00,0.80
310,USGS,02164000,2017-08-06,1.32,0.81,0.00,0.71
311,USGS,02164000,2017-08-07,1.22,1.01,0.00,0.86
312,USGS,02164000,2017-08-08,2.72,1.22,0.86,0.93
313,USGS,02164000,2017-08-09,0.98,0.87,0.00,0.80
314,USGS,02164000,2017-08-10,0.80,0.77,0.00,0.75
315,USGS,02164000,2017-08-11,2.68,1.26,0.34,0.75
316,USGS,02164000,2017-08-12,1.22,0.93,0.00,0.80
317,USGS,02164000,2017-08-13,0.80,0.77,0.00,0.75
318,USGS,02164000,2017-08-14,2.06,1.01,1.37,0.75
319,USGS,02164000,2017-08-15,1.38,0.96,0.01,0.80
320,USGS,02164000,2017-08-16,0.80,0.77,0.00,0.75
321,USGS,02164000,2017-08-17,0.75,0.75,0.00,0.73
322,USGS,02164000,2017-08-18,0.73,0.73,0.00,0.72
323,USGS,02164000,2017-08-19,0.72,0.71,0.00,0.70
324,USGS,02164000,2017-08-20,0.70,0.70,0.00,0.70
325,USGS,02164000,2017-08-21,0.70,0.69,0.00,0.69
326,USGS,02164000,2017-08-22,0.69,0.69,0.00,0.68
327,USGS,02164000,2017-08-23,0.68,0.68,0.00,0.68
328,USGS,02164000,2017-08-24,0.68,0.68,0.00,0.67
329,USGS,02164000,2017-08-25,0.67,0.66,0.00,0.66
330,USGS,02164000,2017-08-26,0.66,0.66,0.00,0.66
331,USGS,02164000,2017-08-27,0.66,0.66,0.00,0.65
332,USGS,02164000,2017-08-28,0.65,0.65,0.00,0.65
333,USGS,02164000,2017-08-29,0.65,0.64,0.00,0.64
334,USGS,02164000,2017-08-30,0.64,0.64,0.01,0.64
335,USGS,02164000,2017-08-31,1.56,0.94,0.93,0.64
336,USGS,02164000,2017-09-01,2.27,1.03,0.09,0.72
337,USGS,02164000,2017-09-02,1.06,0.82,0.01,0.72
338,USGS,02164000,2017-09-03,0.72,0.70,0.00,0.69
339,USGS,02164000,2017-09-04,0.69,0.67,0.00,0.67
340,USGS,02164000,2017-09-05,1.16,0.71,0.93,0.66
341,USGS,02164000,2017-09-06,3.40,1.31,0.81,0.77
342,USGS,02164000,2017-09-07,0.98,0.83,0.00,0.74
343,USGS,02164000,2017-09-08,0.79,0.76,0.00,0.74
344,USGS,02164000,2017-09-09,0.77,0.74,0.00,0.71
345,USGS,02164000,2017-09-10,0.77,0.73,0.00,0.70
346,USGS,02164000,2017-09-11,2.99,1.27,1.58,0.72
347,USGS,02164000,2017-09-12,2.51,1.72,0.45,1.08
348,USGS,02164000,2017-09-13,1.08,0.91,0.00,0.82
349,USGS,02164000,2017-09-14,0.82,0.79,0.00,0.76
350,USGS,02164000,2017-09-15,0.76,0.75,0.00,0.74
351,USGS,02164000,2017-09-16,0.74,0.73,0.00,0.72
352,USGS,02164000,2017-09-17,0.72,0.71,0.00,0.71
353,USGS,02164000,2017-09-18,0.71,0.70,0.00,0.70
354,USGS,02164000,2017-09-19,0.70,0.70,0.00,0.69
355,USGS,02164000,2017-09-20,0.69,0.69,0.00,0.69
356,USGS,02164000,2017-09-21,0.69,0.68,0.00,0.68
357,USGS,02164000,2017-09-22,0.68,0.68,0.00,0.67
358,USGS,02164000,2017-09-23,0.67,0.67,0.00,0.67
359,USGS,02164000,2017-09-24,0.67,0.67,0.00,0.66
360,USGS,02164000,2017-09-25,0.66,0.66,0.00,0.66
361,USGS,02164000,2017-09-26,0.66,0.66,0.00,0.66
362,USGS,02164000,2017-09-27,0.66,0.66,0.00,0.65
363,USGS,02164000,2017-09-28,0.66,0.65,0.04,0.65
364,USGS,02164000,2017-09-29,0.66,0.65,0.00,0.65
365,USGS,02164000,2017-09-30,0.65,0.65,0.00,0.65
