,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max,Precipitation
57,USGS,02130840,2016-11-26,4.39,4.37,4.40,0.00
58,USGS,02130840,2016-11-27,4.37,4.36,4.37,0.00
59,USGS,02130840,2016-11-28,4.42,4.36,4.55,0.00
60,USGS,02130840,2016-11-29,4.58,4.55,4.69,0.42
61,USGS,02130840,2016-11-30,4.90,4.69,4.96,0.29
62,USGS,02130840,2016-12-01,5.02,4.96,5.06,0.00
63,USGS,02130840,2016-12-02,4.86,4.71,4.99,0.01
64,USGS,02130840,2016-12-03,4.61,4.52,4.71,0.01
65,USGS,02130840,2016-12-04,4.49,4.47,4.52,0.27
66,USGS,02130840,2016-12-05,4.95,4.52,5.22,0.49
67,USGS,02130840,2016-12-06,5.68,5.22,6.02,0.27
68,USGS,02130840,2016-12-07,5.47,5.24,5.57,0.00
69,USGS,02130840,2016-12-08,5.05,4.92,5.24,0.00
70,USGS,02130840,2016-12-09,4.79,4.67,4.92,0.00
71,USGS,02130840,2016-12-10,4.62,4.58,4.67,0.00
72,USGS,02130840,2016-12-11,4.56,4.55,4.58,0.00
73,USGS,02130840,2016-12-12,4.57,4.56,4.58,0.00
74,USGS,02130840,2016-12-13,4.67,4.58,4.79,0.26
75,USGS,02130840,2016-12-14,4.77,4.73,4.80,0.01
76,USGS,02130840,2016-12-15,4.68,4.62,4.73,0.00
77,USGS,02130840,2016-12-16,4.57,4.54,4.62,0.00
78,USGS,02130840,2016-12-17,4.54,4.53,4.54,0.00
79,USGS,02130840,2016-12-18,4.55,4.54,4.60,0.21
80,USGS,02130840,2016-12-19,4.98,4.60,5.40,0.34
81,USGS,02130840,2016-12-20,5.52,5.37,5.60,0.00
82,USGS,02130840,2016-12-21,5.11,4.92,5.37,0.00
83,USGS,02130840,2016-12-22,4.83,4.74,4.92,0.00
84,USGS,02130840,2016-12-23,4.69,4.63,4.74,0.00
85,USGS,02130840,2016-12-24,4.61,4.59,4.63,0.00
86,USGS,02130840,2016-12-25,4.58,4.56,4.59,0.00
87,USGS,02130840,2016-12-26,4.56,4.55,4.58,0.08
88,USGS,02130840,2016-12-27,4.60,4.58,4.61,0.01
89,USGS,02130840,2016-12-28,4.61,4.58,4.62,0.00
90,USGS,02130840,2016-12-29,5.04,4.57,5.48,0.64
91,USGS,02130840,2016-12-30,5.42,5.19,5.49,0.00
92,USGS,02130840,2016-12-31,4.96,4.85,5.19,0.00
93,USGS,02130840,2017-01-01,4.81,4.79,4.85,0.12
94,USGS,02130840,2017-01-02,,,,1.04
95,USGS,02130840,2017-01-03,,,,0.63
96,USGS,02130840,2017-01-04,7.03,6.75,7.17,0.00
97,USGS,02130840,2017-01-05,5.97,5.35,6.75,0.00
98,USGS,02130840,2017-01-06,5.32,5.25,5.54,0.66
99,USGS,02130840,2017-01-07,,,,0.42
100,USGS,02130840,2017-01-08,,,,0.04
101,USGS,02130840,2017-01-09,,,,0.00
102,USGS,02130840,2017-01-10,5.46,5.43,5.48,0.00
103,USGS,02130840,2017-01-11,5.38,5.34,5.43,0.00
104,USGS,02130840,2017-01-12,5.29,5.23,5.34,0.00
105,USGS,02130840,2017-01-13,5.22,5.16,5.25,0.00
106,USGS,02130840,2017-01-14,5.11,5.07,5.16,0.00
107,USGS,02130840,2017-01-15,5.05,5.03,5.07,0.00
108,USGS,02130840,2017-01-16,5.01,4.99,5.03,0.00
109,USGS,02130840,2017-01-17,4.99,4.99,5.01,0.01
110,USGS,02130840,2017-01-18,5.00,4.95,5.03,0.00
111,USGS,02130840,2017-01-19,4.92,4.90,4.95,0.00
112,USGS,02130840,2017-01-20,4.88,4.87,4.90,0.00
113,USGS,02130840,2017-01-21,5.04,4.88,5.50,0.40
114,USGS,02130840,2017-01-22,5.76,5.50,6.09,0.63
115,USGS,02130840,2017-01-23,6.28,6.09,6.49,0.06
116,USGS,02130840,2017-01-24,6.26,5.71,6.50,0.00
117,USGS,02130840,2017-01-25,5.45,5.26,5.71,0.00
118,USGS,02130840,2017-01-26,5.15,5.04,5.26,0.00
119,USGS,02130840,2017-01-27,4.96,4.89,5.04,0.00
120,USGS,02130840,2017-01-28,4.87,4.85,4.89,0.00
121,USGS,02130840,2017-01-29,4.85,4.84,4.88,0.00
122,USGS,02130840,2017-01-30,4.85,4.81,4.88,0.00
123,USGS,02130840,2017-01-31,4.80,4.79,4.81,0.00
124,USGS,02130840,2017-02-01,4.77,4.76,4.79,0.00
125,USGS,02130840,2017-02-02,4.76,4.76,4.76,0.00
126,USGS,02130840,2017-02-03,4.81,4.76,4.85,0.02
127,USGS,02130840,2017-02-04,4.74,4.64,4.81,0.00
128,USGS,02130840,2017-02-05,4.74,4.73,4.78,0.00
129,USGS,02130840,2017-02-06,4.73,4.71,4.73,0.00
130,USGS,02130840,2017-02-07,4.72,4.70,4.73,0.02
131,USGS,02130840,2017-02-08,4.97,4.67,5.35,0.00
132,USGS,02130840,2017-02-09,5.50,5.28,5.71,0.00
133,USGS,02130840,2017-02-10,5.57,5.23,5.72,0.00
134,USGS,02130840,2017-02-11,5.03,4.94,5.23,0.00
135,USGS,02130840,2017-02-12,4.95,4.89,5.00,0.00
136,USGS,02130840,2017-02-13,4.86,4.76,4.89,0.00
137,USGS,02130840,2017-02-14,4.64,4.56,4.76,0.00
138,USGS,02130840,2017-02-15,5.01,4.52,5.76,0.28
139,USGS,02130840,2017-02-16,5.83,5.64,5.91,0.00
140,USGS,02130840,2017-02-17,5.29,5.04,5.64,0.00
141,USGS,02130840,2017-02-18,4.82,4.64,5.04,0.02
142,USGS,02130840,2017-02-19,4.86,4.83,4.87,0.00
143,USGS,02130840,2017-02-20,4.78,4.69,4.83,0.00
144,USGS,02130840,2017-02-21,4.58,4.48,4.69,0.00
145,USGS,02130840,2017-02-22,4.54,4.46,4.65,0.00
146,USGS,02130840,2017-02-23,4.59,4.48,4.66,0.00
147,USGS,02130840,2017-02-24,4.64,4.63,4.66,0.00
148,USGS,02130840,2017-02-25,4.62,4.58,4.63,0.00
149,USGS,02130840,2017-02-26,4.56,4.55,4.58,0.00
150,USGS,02130840,2017-02-27,4.52,4.48,4.55,0.00
151,USGS,02130840,2017-02-28,4.40,4.32,4.50,0.00
152,USGS,02130840,2017-03-01,4.55,4.50,4.66,0.17
153,USGS,02130840,2017-03-02,5.26,4.66,5.47,0.00
154,USGS,02130840,2017-03-03,5.02,4.81,5.25,0.00
155,USGS,02130840,2017-03-04,4.63,4.53,4.81,0.00
156,USGS,02130840,2017-03-05,4.59,4.56,4.64,0.00
157,USGS,02130840,2017-03-06,4.54,4.53,4.56,0.00
158,USGS,02130840,2017-03-07,4.43,4.35,4.54,0.03
159,USGS,02130840,2017-03-08,4.42,4.37,4.49,0.03
160,USGS,02130840,2017-03-09,4.37,4.31,4.48,0.00
161,USGS,02130840,2017-03-10,4.39,4.35,4.49,0.04
162,USGS,02130840,2017-03-11,4.40,4.32,4.49,0.00
163,USGS,02130840,2017-03-12,4.75,4.47,5.13,0.28
164,USGS,02130840,2017-03-13,5.21,5.13,5.30,0.13
165,USGS,02130840,2017-03-14,5.70,5.30,5.97,0.03
166,USGS,02130840,2017-03-15,5.55,5.16,5.79,0.00
167,USGS,02130840,2017-03-16,4.97,4.84,5.16,0.00
168,USGS,02130840,2017-03-17,4.76,4.71,4.84,0.00
169,USGS,02130840,2017-03-18,4.76,4.69,5.06,0.27
170,USGS,02130840,2017-03-19,5.13,5.03,5.19,0.00
171,USGS,02130840,2017-03-20,4.89,4.79,5.03,0.00
172,USGS,02130840,2017-03-21,4.74,4.69,4.79,0.11
173,USGS,02130840,2017-03-22,5.08,4.72,5.22,0.02
174,USGS,02130840,2017-03-23,4.94,4.76,5.14,0.00
175,USGS,02130840,2017-03-24,4.70,4.67,4.76,0.00
176,USGS,02130840,2017-03-25,4.64,4.61,4.67,0.00
177,USGS,02130840,2017-03-26,4.60,4.57,4.61,0.00
178,USGS,02130840,2017-03-27,4.56,4.55,4.57,0.00
179,USGS,02130840,2017-03-28,4.65,4.53,4.78,0.04
180,USGS,02130840,2017-03-29,4.68,4.61,4.74,0.00
181,USGS,02130840,2017-03-30,4.59,4.54,4.78,0.26
182,USGS,02130840,2017-03-31,5.08,4.78,5.16,0.20
183,USGS,02130840,2017-04-01,4.92,4.74,5.09,0.00
184,USGS,02130840,2017-04-02,4.63,4.54,4.74,0.00
185,USGS,02130840,2017-04-03,4.72,4.52,5.63,0.69
186,USGS,02130840,2017-04-04,6.20,5.63,6.43,0.00
187,USGS,02130840,2017-04-05,5.97,5.57,6.43,0.55
188,USGS,02130840,2017-04-06,6.42,5.99,6.61,0.00
189,USGS,02130840,2017-04-07,6.00,5.37,6.51,0.00
190,USGS,02130840,2017-04-08,5.15,4.98,5.37,0.00
191,USGS,02130840,2017-04-09,4.90,4.82,4.98,0.00
192,USGS,02130840,2017-04-10,4.76,4.70,4.82,0.00
193,USGS,02130840,2017-04-11,4.67,4.62,4.70,0.00
194,USGS,02130840,2017-04-12,4.58,4.54,4.62,0.00
195,USGS,02130840,2017-04-13,4.54,4.52,4.55,0.00
196,USGS,02130840,2017-04-14,4.49,4.46,4.52,0.00
197,USGS,02130840,2017-04-15,4.42,4.39,4.46,0.00
198,USGS,02130840,2017-04-16,4.36,4.33,4.39,0.00
199,USGS,02130840,2017-04-17,4.30,4.28,4.33,0.07
200,USGS,02130840,2017-04-18,4.26,4.25,4.28,0.02
201,USGS,02130840,2017-04-19,4.26,4.25,4.26,0.00
202,USGS,02130840,2017-04-20,4.27,4.25,4.28,0.00
203,USGS,02130840,2017-04-21,4.23,4.20,4.25,0.00
204,USGS,02130840,2017-04-22,4.17,4.13,4.20,0.00
205,USGS,02130840,2017-04-23,4.13,4.11,4.16,0.30
206,USGS,02130840,2017-04-24,6.25,4.16,8.10,
207,USGS,02130840,2017-04-25,8.17,8.05,8.26,
208,USGS,02130840,2017-04-26,7.15,6.19,8.06,
209,USGS,02130840,2017-04-27,5.60,5.20,6.19,
210,USGS,02130840,2017-04-28,5.02,4.84,5.20,
211,USGS,02130840,2017-04-29,4.74,4.60,4.84,
212,USGS,02130840,2017-04-30,4.55,4.53,4.60,
213,USGS,02130840,2017-05-01,4.67,4.54,5.21,
214,USGS,02130840,2017-05-02,5.48,5.21,5.60,
215,USGS,02130840,2017-05-03,5.02,4.69,5.39,
216,USGS,02130840,2017-05-04,4.58,4.48,4.69,
217,USGS,02130840,2017-05-05,6.03,4.56,6.87,
218,USGS,02130840,2017-05-06,6.65,5.73,6.95,
219,USGS,02130840,2017-05-07,5.18,4.86,5.73,
220,USGS,02130840,2017-05-08,4.71,4.56,4.86,
221,USGS,02130840,2017-05-09,4.48,4.38,4.56,
222,USGS,02130840,2017-05-10,4.33,4.27,4.38,
223,USGS,02130840,2017-05-11,4.23,4.18,4.27,
224,USGS,02130840,2017-05-12,4.18,4.17,4.20,
225,USGS,02130840,2017-05-13,4.43,4.20,4.54,
226,USGS,02130840,2017-05-14,4.47,4.37,4.51,
227,USGS,02130840,2017-05-15,4.28,4.17,4.37,
228,USGS,02130840,2017-05-16,4.09,4.05,4.17,
229,USGS,02130840,2017-05-17,3.99,3.96,4.05,
230,USGS,02130840,2017-05-18,4.20,3.92,4.46,
231,USGS,02130840,2017-05-19,4.61,4.13,5.13,
232,USGS,02130840,2017-05-20,3.90,3.83,4.13,
233,USGS,02130840,2017-05-21,3.89,3.84,4.00,
234,USGS,02130840,2017-05-22,4.98,4.00,6.00,
235,USGS,02130840,2017-05-23,6.93,5.99,7.91,2.24
236,USGS,02130840,2017-05-24,8.05,7.91,8.14,0.27
237,USGS,02130840,2017-05-25,7.95,7.83,8.32,0.08
238,USGS,02130840,2017-05-26,7.87,6.93,8.36,0.00
239,USGS,02130840,2017-05-27,5.71,5.04,6.93,0.00
240,USGS,02130840,2017-05-28,4.87,4.69,5.04,0.00
241,USGS,02130840,2017-05-29,4.62,4.56,4.69,0.05
242,USGS,02130840,2017-05-30,4.55,4.55,4.56,0.01
243,USGS,02130840,2017-05-31,4.57,4.51,4.59,0.00
244,USGS,02130840,2017-06-01,4.48,4.39,4.51,0.00
245,USGS,02130840,2017-06-02,4.36,4.28,4.39,0.00
246,USGS,02130840,2017-06-03,4.24,4.17,4.28,0.01
247,USGS,02130840,2017-06-04,4.19,4.17,4.30,0.28
248,USGS,02130840,2017-06-05,6.14,4.30,7.60,0.03
249,USGS,02130840,2017-06-06,7.52,6.65,7.85,0.03
250,USGS,02130840,2017-06-07,5.56,5.15,6.65,0.06
251,USGS,02130840,2017-06-08,4.95,4.74,5.15,0.00
252,USGS,02130840,2017-06-09,4.65,4.51,4.74,0.00
253,USGS,02130840,2017-06-10,4.39,4.33,4.51,0.00
254,USGS,02130840,2017-06-11,4.32,4.23,4.36,0.00
255,USGS,02130840,2017-06-12,4.20,4.16,4.23,0.00
256,USGS,02130840,2017-06-13,4.15,4.12,4.16,0.00
257,USGS,02130840,2017-06-14,4.11,4.11,4.12,0.00
258,USGS,02130840,2017-06-15,4.19,4.12,4.23,0.00
259,USGS,02130840,2017-06-16,4.25,4.15,4.29,0.03
260,USGS,02130840,2017-06-17,4.24,4.14,4.46,
261,USGS,02130840,2017-06-18,4.35,4.19,4.45,
262,USGS,02130840,2017-06-19,4.29,4.10,5.26,
263,USGS,02130840,2017-06-20,6.09,5.26,6.78,
264,USGS,02130840,2017-06-21,6.23,5.86,6.75,
265,USGS,02130840,2017-06-22,5.37,4.68,5.86,
266,USGS,02130840,2017-06-23,4.49,4.32,4.68,
267,USGS,02130840,2017-06-24,4.39,4.32,4.43,
268,USGS,02130840,2017-06-25,4.33,4.24,4.38,
269,USGS,02130840,2017-06-26,4.19,4.10,4.24,
270,USGS,02130840,2017-06-27,4.07,4.02,4.10,
271,USGS,02130840,2017-06-28,3.98,3.92,4.02,
272,USGS,02130840,2017-06-29,3.90,3.86,3.92,
273,USGS,02130840,2017-06-30,3.88,3.86,3.96,
274,USGS,02130840,2017-07-01,3.95,3.91,3.97,
275,USGS,02130840,2017-07-02,3.91,3.87,3.93,
276,USGS,02130840,2017-07-03,3.90,3.86,4.08,
277,USGS,02130840,2017-07-04,4.82,4.08,5.18,
278,USGS,02130840,2017-07-05,4.40,4.18,4.74,
279,USGS,02130840,2017-07-06,4.14,4.03,4.20,
280,USGS,02130840,2017-07-07,3.97,3.90,4.03,0.00
281,USGS,02130840,2017-07-08,3.86,3.81,3.90,0.00
282,USGS,02130840,2017-07-09,3.79,3.78,3.81,0.15
283,USGS,02130840,2017-07-10,3.85,3.78,3.90,0.25
284,USGS,02130840,2017-07-11,3.85,3.79,3.88,0.00
285,USGS,02130840,2017-07-12,3.79,3.77,3.81,0.00
286,USGS,02130840,2017-07-13,3.75,3.74,3.77,0.00
287,USGS,02130840,2017-07-14,3.72,3.70,3.74,0.00
288,USGS,02130840,2017-07-15,3.72,3.69,3.90,0.52
289,USGS,02130840,2017-07-16,3.97,3.90,4.01,0.08
290,USGS,02130840,2017-07-17,3.95,3.88,3.98,0.01
291,USGS,02130840,2017-07-18,3.86,3.84,3.88,0.07
292,USGS,02130840,2017-07-19,3.97,3.86,4.02,0.08
293,USGS,02130840,2017-07-20,4.07,3.88,4.19,0.00
294,USGS,02130840,2017-07-21,4.03,3.92,4.69,0.00
295,USGS,02130840,2017-07-22,4.67,4.30,4.95,0.00
296,USGS,02130840,2017-07-23,4.85,4.10,8.43,0.00
297,USGS,02130840,2017-07-24,8.33,7.67,8.81,0.01
298,USGS,02130840,2017-07-25,6.79,5.36,7.67,0.00
299,USGS,02130840,2017-07-26,4.94,4.64,5.36,0.00
300,USGS,02130840,2017-07-27,4.52,4.38,4.64,0.00
301,USGS,02130840,2017-07-28,4.33,4.27,4.38,0.01
302,USGS,02130840,2017-07-29,4.32,4.28,4.35,0.00
303,USGS,02130840,2017-07-30,4.23,4.11,4.28,0.00
304,USGS,02130840,2017-07-31,4.07,3.99,4.11,0.00
305,USGS,02130840,2017-08-01,3.99,3.95,4.02,0.00
306,USGS,02130840,2017-08-02,3.94,3.89,3.96,0.00
307,USGS,02130840,2017-08-03,3.91,3.89,3.94,0.00
308,USGS,02130840,2017-08-04,3.91,3.89,3.94,0.00
309,USGS,02130840,2017-08-05,3.90,3.87,3.92,0.00
310,USGS,02130840,2017-08-06,3.92,3.86,4.16,0.00
311,USGS,02130840,2017-08-07,4.21,4.16,4.38,0.00
312,USGS,02130840,2017-08-08,4.43,4.36,4.51,0.00
313,USGS,02130840,2017-08-09,4.29,4.17,4.36,0.01
314,USGS,02130840,2017-08-10,4.15,4.07,4.18,0.00
315,USGS,02130840,2017-08-11,4.04,3.97,4.07,0.00
316,USGS,02130840,2017-08-12,4.57,3.98,5.45,0.00
317,USGS,02130840,2017-08-13,5.81,5.40,6.12,0.00
318,USGS,02130840,2017-08-14,4.91,4.57,5.40,0.00
319,USGS,02130840,2017-08-15,4.44,4.30,4.57,0.00
320,USGS,02130840,2017-08-16,4.23,4.12,4.30,0.00
321,USGS,02130840,2017-08-17,4.10,4.08,4.12,0.00
322,USGS,02130840,2017-08-18,4.06,4.01,4.08,0.01
323,USGS,02130840,2017-08-19,4.01,3.95,4.03,0.00
324,USGS,02130840,2017-08-20,3.94,3.89,3.95,0.00
325,USGS,02130840,2017-08-21,3.89,3.86,3.91,0.00
326,USGS,02130840,2017-08-22,3.86,3.82,3.88,0.00
327,USGS,02130840,2017-08-23,3.83,3.81,3.85,0.00
328,USGS,02130840,2017-08-24,4.21,3.80,4.70,0.00
329,USGS,02130840,2017-08-25,4.54,4.13,4.71,0.00
330,USGS,02130840,2017-08-26,3.92,3.78,4.13,0.00
331,USGS,02130840,2017-08-27,3.76,3.73,3.78,0.00
332,USGS,02130840,2017-08-28,3.70,3.69,3.74,0.00
333,USGS,02130840,2017-08-29,3.68,3.67,3.69,0.00
334,USGS,02130840,2017-08-30,4.05,3.68,4.18,0.01
335,USGS,02130840,2017-08-31,3.98,3.91,4.17,0.00
336,USGS,02130840,2017-09-01,4.65,4.17,4.76,0.00
337,USGS,02130840,2017-09-02,4.70,4.68,4.72,0.00
338,USGS,02130840,2017-09-03,4.49,4.25,4.70,0.00
339,USGS,02130840,2017-09-04,4.15,4.04,4.25,0.00
340,USGS,02130840,2017-09-05,4.01,3.96,4.04,0.00
341,USGS,02130840,2017-09-06,4.59,4.02,4.92,0.00
342,USGS,02130840,2017-09-07,4.21,4.07,4.37,0.01
343,USGS,02130840,2017-09-08,4.02,3.95,4.07,0.00
344,USGS,02130840,2017-09-09,3.93,3.88,3.95,0.00
345,USGS,02130840,2017-09-10,3.87,3.84,3.88,0.00
346,USGS,02130840,2017-09-11,4.22,3.83,4.86,0.00
347,USGS,02130840,2017-09-12,5.50,4.86,5.84,0.00
348,USGS,02130840,2017-09-13,5.12,4.84,5.23,0.00
349,USGS,02130840,2017-09-14,4.67,4.47,4.84,0.01
350,USGS,02130840,2017-09-15,4.34,4.22,4.47,0.00
351,USGS,02130840,2017-09-16,4.17,4.10,4.22,0.00
352,USGS,02130840,2017-09-17,4.07,4.02,4.10,0.00
353,USGS,02130840,2017-09-18,4.00,3.97,4.02,0.00
354,USGS,02130840,2017-09-19,3.96,3.93,3.97,0.01
355,USGS,02130840,2017-09-20,3.93,3.90,3.95,0.00
356,USGS,02130840,2017-09-21,3.89,3.87,3.90,0.00
357,USGS,02130840,2017-09-22,3.86,3.84,3.88,0.00
358,USGS,02130840,2017-09-23,3.84,3.81,3.85,0.00
359,USGS,02130840,2017-09-24,3.80,3.79,3.82,0.01
360,USGS,02130840,2017-09-25,3.80,3.79,3.81,0.00
361,USGS,02130840,2017-09-26,3.80,3.78,3.81,0.00
362,USGS,02130840,2017-09-27,3.80,3.78,3.81,0.00
363,USGS,02130840,2017-09-28,3.78,3.77,3.79,0.01
364,USGS,02130840,2017-09-29,3.77,3.75,3.77,0.00
365,USGS,02130840,2017-09-30,3.74,3.73,3.75,0.00
