,agency_cd,site_no,datetime,Dissolved oxygen_Mean,"Turbidity, water_Max",Temperature_Mean,Precipitation,"Turbidity, water_Mean",Temperature_Min,Temperature_Max,Dissolved oxygen_Min,Dissolved oxygen_Max,Gage height_Max,Gage height_Min,"Turbidity, water_Min",Gage height_Mean
67,USGS,02110400,2016-12-06,9.0,41.5,13.0,0.96,24.3,12.2,13.4,8.5,9.6,6.39,5.68,9.8,6.12
68,USGS,02110400,2016-12-07,8.6,33.5,13.2,0.00,22.8,12.3,14.4,8.4,8.8,6.24,5.88,15.7,6.03
69,USGS,02110400,2016-12-08,9.2,17.4,12.0,0.00,13.6,11.1,12.9,8.6,9.6,5.88,5.74,11.2,5.80
70,USGS,02110400,2016-12-09,9.9,11.5,9.9,0.00,10.5,8.6,11.5,9.2,10.6,5.74,5.63,9.4,5.68
71,USGS,02110400,2016-12-10,11.0,9.5,7.1,0.00,9.2,5.7,8.6,10.4,11.6,5.65,5.57,8.9,5.61
72,USGS,02110400,2016-12-11,11.5,9.7,6.5,0.00,8.5,4.5,8.4,11.2,12.1,5.59,5.56,7.9,5.57
73,USGS,02110400,2016-12-12,10.3,48.6,10.5,0.45,17.1,8.3,12.9,8.7,11.6,6.24,5.57,7.4,5.86
74,USGS,02110400,2016-12-13,8.9,35.2,12.2,0.17,27.5,12.0,12.7,8.6,9.3,6.63,6.24,22.2,6.36
75,USGS,02110400,2016-12-14,9.1,29.7,12.3,0.18,23.9,11.7,13.1,8.6,9.4,6.99,6.63,20.2,6.84
76,USGS,02110400,2016-12-15,9.2,21.7,11.0,0.00,16.7,9.6,12.2,8.4,9.8,7.01,6.95,12.6,6.98
77,USGS,02110400,2016-12-16,10.2,12.6,7.7,0.00,11.2,6.8,9.6,8.9,11.2,7.11,7.01,9.9,7.05
78,USGS,02110400,2016-12-17,10.5,10.5,8.3,0.03,9.7,7.0,10.6,9.8,10.9,7.28,7.11,9.0,7.20
79,USGS,02110400,2016-12-18,9.6,12.2,11.5,0.01,9.9,10.0,14.6,9.0,10.4,7.44,7.28,9.0,7.36
