,agency_cd,site_no,datetime,Precipitation
104,USGS,02162285,2017-05-30,0.01
105,USGS,02162285,2017-05-31,0.26
106,USGS,02162285,2017-06-01,0.00
107,USGS,02162285,2017-06-02,
108,USGS,02162285,2017-06-03,
109,USGS,02162285,2017-06-04,
110,USGS,02162285,2017-06-05,
111,USGS,02162285,2017-06-06,
112,USGS,02162285,2017-06-07,
113,USGS,02162285,2017-06-08,
114,USGS,02162285,2017-06-09,
115,USGS,02162285,2017-06-10,
116,USGS,02162285,2017-06-11,
117,USGS,02162285,2017-06-12,
118,USGS,02162285,2017-06-13,
119,USGS,02162285,2017-06-14,
120,USGS,02162285,2017-06-15,0.03
121,USGS,02162285,2017-06-16,0.19
122,USGS,02162285,2017-06-17,0.17
123,USGS,02162285,2017-06-18,0.24
124,USGS,02162285,2017-06-19,0.12
125,USGS,02162285,2017-06-20,0.00
126,USGS,02162285,2017-06-21,0.34
127,USGS,02162285,2017-06-22,0.79
128,USGS,02162285,2017-06-23,0.26
129,USGS,02162285,2017-06-24,0.18
130,USGS,02162285,2017-06-25,0.00
131,USGS,02162285,2017-06-26,0.00
132,USGS,02162285,2017-06-27,0.00
133,USGS,02162285,2017-06-28,0.00
134,USGS,02162285,2017-06-29,0.73
135,USGS,02162285,2017-06-30,0.71
136,USGS,02162285,2017-07-01,0.68
137,USGS,02162285,2017-07-02,0.94
138,USGS,02162285,2017-07-03,0.00
139,USGS,02162285,2017-07-04,0.00
140,USGS,02162285,2017-07-05,0.11
141,USGS,02162285,2017-07-06,0.00
142,USGS,02162285,2017-07-07,0.00
143,USGS,02162285,2017-07-08,0.23
144,USGS,02162285,2017-07-09,0.00
145,USGS,02162285,2017-07-10,0.00
146,USGS,02162285,2017-07-11,0.01
147,USGS,02162285,2017-07-12,0.44
148,USGS,02162285,2017-07-13,1.08
149,USGS,02162285,2017-07-14,0.00
150,USGS,02162285,2017-07-15,0.16
151,USGS,02162285,2017-07-16,0.00
152,USGS,02162285,2017-07-17,0.02
153,USGS,02162285,2017-07-18,0.11
154,USGS,02162285,2017-07-19,0.02
155,USGS,02162285,2017-07-20,0.00
156,USGS,02162285,2017-07-21,0.00
157,USGS,02162285,2017-07-22,0.00
158,USGS,02162285,2017-07-23,0.00
159,USGS,02162285,2017-07-24,0.00
160,USGS,02162285,2017-07-25,0.00
161,USGS,02162285,2017-07-26,0.00
162,USGS,02162285,2017-07-27,0.00
163,USGS,02162285,2017-07-28,0.26
164,USGS,02162285,2017-07-29,0.00
165,USGS,02162285,2017-07-30,0.00
166,USGS,02162285,2017-07-31,0.00
167,USGS,02162285,2017-08-01,0.00
168,USGS,02162285,2017-08-02,0.00
169,USGS,02162285,2017-08-03,0.00
170,USGS,02162285,2017-08-04,0.97
171,USGS,02162285,2017-08-05,0.00
172,USGS,02162285,2017-08-06,0.00
173,USGS,02162285,2017-08-07,2.33
174,USGS,02162285,2017-08-08,0.38
175,USGS,02162285,2017-08-09,0.00
176,USGS,02162285,2017-08-10,0.00
177,USGS,02162285,2017-08-11,0.59
178,USGS,02162285,2017-08-12,0.36
179,USGS,02162285,2017-08-13,1.51
180,USGS,02162285,2017-08-14,0.38
181,USGS,02162285,2017-08-15,0.00
182,USGS,02162285,2017-08-16,0.00
183,USGS,02162285,2017-08-17,0.06
184,USGS,02162285,2017-08-18,0.00
185,USGS,02162285,2017-08-19,0.00
186,USGS,02162285,2017-08-20,0.00
187,USGS,02162285,2017-08-21,0.00
188,USGS,02162285,2017-08-22,0.00
189,USGS,02162285,2017-08-23,0.03
190,USGS,02162285,2017-08-24,0.00
191,USGS,02162285,2017-08-25,0.00
192,USGS,02162285,2017-08-26,0.00
193,USGS,02162285,2017-08-27,0.00
194,USGS,02162285,2017-08-28,0.00
195,USGS,02162285,2017-08-29,0.02
196,USGS,02162285,2017-08-30,0.14
197,USGS,02162285,2017-08-31,0.80
198,USGS,02162285,2017-09-01,0.71
199,USGS,02162285,2017-09-02,0.00
200,USGS,02162285,2017-09-03,0.00
201,USGS,02162285,2017-09-04,0.00
202,USGS,02162285,2017-09-05,0.63
203,USGS,02162285,2017-09-06,0.49
204,USGS,02162285,2017-09-07,0.00
205,USGS,02162285,2017-09-08,0.00
206,USGS,02162285,2017-09-09,0.00
207,USGS,02162285,2017-09-10,0.00
208,USGS,02162285,2017-09-11,0.92
209,USGS,02162285,2017-09-12,0.42
210,USGS,02162285,2017-09-13,0.00
211,USGS,02162285,2017-09-14,0.00
212,USGS,02162285,2017-09-15,0.00
213,USGS,02162285,2017-09-16,0.00
214,USGS,02162285,2017-09-17,0.00
215,USGS,02162285,2017-09-18,0.00
216,USGS,02162285,2017-09-19,0.00
217,USGS,02162285,2017-09-20,0.00
218,USGS,02162285,2017-09-21,0.09
219,USGS,02162285,2017-09-22,0.00
220,USGS,02162285,2017-09-23,0.00
221,USGS,02162285,2017-09-24,0.00
222,USGS,02162285,2017-09-25,0.00
223,USGS,02162285,2017-09-26,0.00
224,USGS,02162285,2017-09-27,0.00
225,USGS,02162285,2017-09-28,0.00
226,USGS,02162285,2017-09-29,0.00
227,USGS,02162285,2017-09-30,0.00
