,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max,Precipitation
201,USGS,02196999,2017-04-19,114.96,114.66,115.21,0.00
202,USGS,02196999,2017-04-20,114.67,114.37,114.84,0.00
203,USGS,02196999,2017-04-21,114.36,114.27,114.44,0.00
204,USGS,02196999,2017-04-22,114.62,114.44,114.71,0.00
205,USGS,02196999,2017-04-23,114.73,114.60,114.84,0.03
206,USGS,02196999,2017-04-24,115.02,114.73,115.16,1.00
207,USGS,02196999,2017-04-25,114.91,114.59,115.13,0.00
208,USGS,02196999,2017-04-26,115.11,114.70,115.47,0.00
209,USGS,02196999,2017-04-27,114.85,114.64,115.21,0.00
210,USGS,02196999,2017-04-28,114.88,114.72,115.02,0.00
211,USGS,02196999,2017-04-29,114.92,114.82,115.04,0.00
212,USGS,02196999,2017-04-30,114.93,114.79,115.02,0.00
213,USGS,02196999,2017-05-01,114.86,114.48,115.05,0.04
214,USGS,02196999,2017-05-02,114.61,114.48,114.71,0.00
215,USGS,02196999,2017-05-03,114.80,114.58,114.91,0.00
216,USGS,02196999,2017-05-04,114.96,114.80,115.10,0.14
217,USGS,02196999,2017-05-05,114.86,114.77,115.08,0.06
218,USGS,02196999,2017-05-06,114.88,114.68,115.11,0.00
219,USGS,02196999,2017-05-07,114.78,114.63,114.88,0.00
220,USGS,02196999,2017-05-08,114.93,114.66,115.13,0.00
221,USGS,02196999,2017-05-09,114.89,114.76,115.07,0.00
222,USGS,02196999,2017-05-10,114.92,114.66,115.19,0.00
223,USGS,02196999,2017-05-11,114.72,114.55,114.87,0.00
224,USGS,02196999,2017-05-12,114.84,114.58,114.99,0.00
225,USGS,02196999,2017-05-13,114.87,114.68,115.02,0.42
226,USGS,02196999,2017-05-14,114.88,114.72,115.00,0.00
227,USGS,02196999,2017-05-15,114.85,114.58,115.00,0.00
228,USGS,02196999,2017-05-16,114.81,114.57,114.94,0.00
229,USGS,02196999,2017-05-17,114.93,114.57,115.15,0.00
230,USGS,02196999,2017-05-18,114.76,114.65,114.88,0.00
231,USGS,02196999,2017-05-19,114.82,114.65,114.97,0.00
232,USGS,02196999,2017-05-20,114.81,114.70,114.89,0.00
233,USGS,02196999,2017-05-21,114.94,114.79,115.11,0.00
234,USGS,02196999,2017-05-22,115.00,114.83,115.10,1.19
235,USGS,02196999,2017-05-23,114.61,114.48,114.83,0.70
236,USGS,02196999,2017-05-24,114.79,114.63,115.02,0.89
237,USGS,02196999,2017-05-25,115.01,114.75,115.77,0.00
238,USGS,02196999,2017-05-26,115.03,114.52,115.81,0.00
239,USGS,02196999,2017-05-27,115.05,114.55,115.54,0.00
240,USGS,02196999,2017-05-28,114.86,114.65,115.01,0.00
241,USGS,02196999,2017-05-29,114.84,114.63,114.96,0.00
242,USGS,02196999,2017-05-30,114.87,114.74,115.04,0.00
243,USGS,02196999,2017-05-31,115.07,114.81,115.21,0.00
244,USGS,02196999,2017-06-01,114.91,114.62,115.11,0.00
245,USGS,02196999,2017-06-02,114.98,114.76,115.15,0.00
246,USGS,02196999,2017-06-03,115.01,114.96,115.06,0.00
247,USGS,02196999,2017-06-04,114.92,114.73,115.06,0.34
248,USGS,02196999,2017-06-05,114.91,114.82,115.01,0.05
249,USGS,02196999,2017-06-06,114.83,114.70,114.91,0.03
250,USGS,02196999,2017-06-07,114.92,114.86,115.04,0.01
251,USGS,02196999,2017-06-08,114.92,114.78,115.05,0.00
252,USGS,02196999,2017-06-09,114.75,114.52,114.90,0.00
253,USGS,02196999,2017-06-10,114.74,114.59,114.89,0.00
254,USGS,02196999,2017-06-11,114.63,114.51,114.70,0.00
255,USGS,02196999,2017-06-12,114.76,114.68,115.04,0.00
256,USGS,02196999,2017-06-13,114.84,114.51,115.19,0.00
257,USGS,02196999,2017-06-14,114.91,114.74,115.03,0.00
258,USGS,02196999,2017-06-15,114.76,114.62,114.89,0.58
259,USGS,02196999,2017-06-16,114.83,114.63,114.94,0.02
260,USGS,02196999,2017-06-17,114.83,114.69,114.95,0.01
261,USGS,02196999,2017-06-18,114.80,114.65,114.93,0.72
262,USGS,02196999,2017-06-19,114.98,114.67,115.15,0.00
263,USGS,02196999,2017-06-20,115.06,114.85,115.19,0.23
264,USGS,02196999,2017-06-21,114.74,114.50,114.92,0.14
265,USGS,02196999,2017-06-22,115.02,114.74,115.18,0.01
266,USGS,02196999,2017-06-23,114.92,114.78,115.02,0.00
267,USGS,02196999,2017-06-24,114.94,114.85,115.07,0.93
268,USGS,02196999,2017-06-25,114.84,114.70,114.98,0.00
269,USGS,02196999,2017-06-26,114.64,114.41,114.98,0.00
270,USGS,02196999,2017-06-27,114.88,114.66,115.12,0.00
271,USGS,02196999,2017-06-28,114.86,114.79,114.97,0.00
272,USGS,02196999,2017-06-29,114.91,114.80,115.06,0.00
273,USGS,02196999,2017-06-30,114.75,114.52,115.14,0.45
274,USGS,02196999,2017-07-01,115.17,114.90,115.26,0.43
275,USGS,02196999,2017-07-02,114.76,114.45,115.23,0.09
276,USGS,02196999,2017-07-03,114.78,114.60,114.95,0.52
277,USGS,02196999,2017-07-04,114.78,114.51,115.10,0.01
278,USGS,02196999,2017-07-05,114.73,114.57,114.95,0.00
279,USGS,02196999,2017-07-06,114.90,114.68,115.09,0.04
280,USGS,02196999,2017-07-07,115.04,114.80,115.25,0.00
281,USGS,02196999,2017-07-08,114.96,114.78,115.10,0.16
282,USGS,02196999,2017-07-09,114.98,114.89,115.04,0.18
283,USGS,02196999,2017-07-10,115.04,114.88,115.13,2.27
284,USGS,02196999,2017-07-11,114.99,114.81,115.19,0.36
285,USGS,02196999,2017-07-12,114.75,114.62,114.86,0.07
286,USGS,02196999,2017-07-13,114.77,114.57,114.92,0.00
287,USGS,02196999,2017-07-14,114.78,114.68,114.86,0.00
288,USGS,02196999,2017-07-15,114.85,114.57,115.18,0.92
