,agency_cd,site_no,datetime
91,USGS,02162287,2017-06-01
92,USGS,02162287,2017-06-02
93,USGS,02162287,2017-06-03
94,USGS,02162287,2017-06-04
95,USGS,02162287,2017-06-05
96,USGS,02162287,2017-06-06
97,USGS,02162287,2017-06-07
98,USGS,02162287,2017-06-08
99,USGS,02162287,2017-06-09
100,USGS,02162287,2017-06-10
101,USGS,02162287,2017-06-11
102,USGS,02162287,2017-06-12
103,USGS,02162287,2017-06-13
104,USGS,02162287,2017-06-14
105,USGS,02162287,2017-06-15
106,USGS,02162287,2017-06-16
107,USGS,02162287,2017-06-17
108,USGS,02162287,2017-06-18
109,USGS,02162287,2017-06-19
110,USGS,02162287,2017-06-20
111,USGS,02162287,2017-06-21
112,USGS,02162287,2017-06-22
113,USGS,02162287,2017-06-23
114,USGS,02162287,2017-06-24
115,USGS,02162287,2017-06-25
116,USGS,02162287,2017-06-26
117,USGS,02162287,2017-06-27
118,USGS,02162287,2017-06-28
119,USGS,02162287,2017-06-29
120,USGS,02162287,2017-06-30
121,USGS,02162287,2017-07-01
122,USGS,02162287,2017-07-02
123,USGS,02162287,2017-07-03
124,USGS,02162287,2017-07-04
125,USGS,02162287,2017-07-05
126,USGS,02162287,2017-07-06
127,USGS,02162287,2017-07-07
128,USGS,02162287,2017-07-08
129,USGS,02162287,2017-07-09
130,USGS,02162287,2017-07-10
131,USGS,02162287,2017-07-11
132,USGS,02162287,2017-07-12
133,USGS,02162287,2017-07-13
134,USGS,02162287,2017-07-14
135,USGS,02162287,2017-07-15
136,USGS,02162287,2017-07-16
137,USGS,02162287,2017-07-17
138,USGS,02162287,2017-07-18
139,USGS,02162287,2017-07-19
140,USGS,02162287,2017-07-20
141,USGS,02162287,2017-07-21
142,USGS,02162287,2017-07-22
143,USGS,02162287,2017-07-23
144,USGS,02162287,2017-07-24
145,USGS,02162287,2017-07-25
146,USGS,02162287,2017-07-26
147,USGS,02162287,2017-07-27
148,USGS,02162287,2017-07-28
149,USGS,02162287,2017-07-29
150,USGS,02162287,2017-07-30
151,USGS,02162287,2017-07-31
152,USGS,02162287,2017-08-01
153,USGS,02162287,2017-08-02
154,USGS,02162287,2017-08-03
155,USGS,02162287,2017-08-04
156,USGS,02162287,2017-08-05
157,USGS,02162287,2017-08-06
158,USGS,02162287,2017-08-07
159,USGS,02162287,2017-08-08
160,USGS,02162287,2017-08-09
161,USGS,02162287,2017-08-10
162,USGS,02162287,2017-08-11
163,USGS,02162287,2017-08-12
164,USGS,02162287,2017-08-13
165,USGS,02162287,2017-08-14
166,USGS,02162287,2017-08-15
167,USGS,02162287,2017-08-16
168,USGS,02162287,2017-08-17
169,USGS,02162287,2017-08-18
170,USGS,02162287,2017-08-19
171,USGS,02162287,2017-08-20
172,USGS,02162287,2017-08-21
173,USGS,02162287,2017-08-22
174,USGS,02162287,2017-08-23
175,USGS,02162287,2017-08-24
176,USGS,02162287,2017-08-25
177,USGS,02162287,2017-08-26
178,USGS,02162287,2017-08-27
179,USGS,02162287,2017-08-28
180,USGS,02162287,2017-08-29
181,USGS,02162287,2017-08-30
182,USGS,02162287,2017-08-31
183,USGS,02162287,2017-09-01
184,USGS,02162287,2017-09-02
185,USGS,02162287,2017-09-03
186,USGS,02162287,2017-09-04
187,USGS,02162287,2017-09-05
188,USGS,02162287,2017-09-06
189,USGS,02162287,2017-09-07
190,USGS,02162287,2017-09-08
191,USGS,02162287,2017-09-09
192,USGS,02162287,2017-09-10
193,USGS,02162287,2017-09-11
194,USGS,02162287,2017-09-12
195,USGS,02162287,2017-09-13
196,USGS,02162287,2017-09-14
197,USGS,02162287,2017-09-15
198,USGS,02162287,2017-09-16
199,USGS,02162287,2017-09-17
200,USGS,02162287,2017-09-18
201,USGS,02162287,2017-09-19
202,USGS,02162287,2017-09-20
203,USGS,02162287,2017-09-21
204,USGS,02162287,2017-09-22
205,USGS,02162287,2017-09-23
206,USGS,02162287,2017-09-24
207,USGS,02162287,2017-09-25
208,USGS,02162287,2017-09-26
209,USGS,02162287,2017-09-27
210,USGS,02162287,2017-09-28
211,USGS,02162287,2017-09-29
212,USGS,02162287,2017-09-30
