,agency_cd,site_no,datetime,Gage height_Mean,Temperature_Mean,Temperature_Min,Temperature_Max,Gage height_Min,Gage height_Max
167,USGS,330428079214800,2017-03-16,,,,,,
168,USGS,330428079214800,2017-03-17,,,,,,
169,USGS,330428079214800,2017-03-18,,,,,,
170,USGS,330428079214800,2017-03-19,,,,,,
171,USGS,330428079214800,2017-03-20,,,,,,
172,USGS,330428079214800,2017-03-21,,,,,,
173,USGS,330428079214800,2017-03-22,,,,,,
174,USGS,330428079214800,2017-03-23,,,,,,
175,USGS,330428079214800,2017-03-24,,,,,,
176,USGS,330428079214800,2017-03-25,,,,,,
177,USGS,330428079214800,2017-03-26,,,,,,
178,USGS,330428079214800,2017-03-27,,,,,,
179,USGS,330428079214800,2017-03-28,,,,,,
180,USGS,330428079214800,2017-03-29,,,,,,
181,USGS,330428079214800,2017-03-30,,,,,,
182,USGS,330428079214800,2017-03-31,,,,,,
183,USGS,330428079214800,2017-04-01,,,,,,
184,USGS,330428079214800,2017-04-02,,,,,,
185,USGS,330428079214800,2017-04-03,,,,,,
186,USGS,330428079214800,2017-04-04,,,,,,
187,USGS,330428079214800,2017-04-05,,,,,,
188,USGS,330428079214800,2017-04-06,,,,,,
189,USGS,330428079214800,2017-04-07,,,,,,
190,USGS,330428079214800,2017-04-08,,,,,,
191,USGS,330428079214800,2017-04-09,,,,,,
192,USGS,330428079214800,2017-04-10,,,,,,
193,USGS,330428079214800,2017-04-11,,,,,,
194,USGS,330428079214800,2017-04-12,,,,,,
195,USGS,330428079214800,2017-04-13,,,,,,
196,USGS,330428079214800,2017-04-14,,,,,,
197,USGS,330428079214800,2017-04-15,,,,,,
198,USGS,330428079214800,2017-04-16,,,,,,
199,USGS,330428079214800,2017-04-17,,,,,,
200,USGS,330428079214800,2017-04-18,,,,,,
201,USGS,330428079214800,2017-04-19,,,,,,
202,USGS,330428079214800,2017-04-20,,,,,,
203,USGS,330428079214800,2017-04-21,,,,,,
204,USGS,330428079214800,2017-04-22,,,,,,
205,USGS,330428079214800,2017-04-23,,,,,,
206,USGS,330428079214800,2017-04-24,,,,,,
207,USGS,330428079214800,2017-04-25,,,,,,
208,USGS,330428079214800,2017-04-26,,,,,,
209,USGS,330428079214800,2017-04-27,,,,,,
210,USGS,330428079214800,2017-04-28,,,,,,
211,USGS,330428079214800,2017-04-29,,,,,,
212,USGS,330428079214800,2017-04-30,,,,,,
213,USGS,330428079214800,2017-05-01,,,,,,
214,USGS,330428079214800,2017-05-02,,,,,,
215,USGS,330428079214800,2017-05-03,,,,,,
216,USGS,330428079214800,2017-05-04,,,,,,
217,USGS,330428079214800,2017-05-05,,,,,,
218,USGS,330428079214800,2017-05-06,,,,,,
219,USGS,330428079214800,2017-05-07,,,,,,
220,USGS,330428079214800,2017-05-08,,,,,,
221,USGS,330428079214800,2017-05-09,,,,,,
222,USGS,330428079214800,2017-05-10,,,,,,
223,USGS,330428079214800,2017-05-11,,,,,,
224,USGS,330428079214800,2017-05-12,,,,,,
225,USGS,330428079214800,2017-05-13,,,,,,
226,USGS,330428079214800,2017-05-14,,,,,,
227,USGS,330428079214800,2017-05-15,,,,,,
228,USGS,330428079214800,2017-05-16,,,,,,
229,USGS,330428079214800,2017-05-17,,,,,,
230,USGS,330428079214800,2017-05-18,,,,,,
231,USGS,330428079214800,2017-05-19,,,,,,
232,USGS,330428079214800,2017-05-20,,,,,,
233,USGS,330428079214800,2017-05-21,,,,,,
234,USGS,330428079214800,2017-05-22,,,,,,
235,USGS,330428079214800,2017-05-23,,,,,,
236,USGS,330428079214800,2017-05-24,,,,,,
237,USGS,330428079214800,2017-05-25,,,,,,
238,USGS,330428079214800,2017-05-26,,,,,,
239,USGS,330428079214800,2017-05-27,,,,,,
240,USGS,330428079214800,2017-05-28,,,,,,
241,USGS,330428079214800,2017-05-29,,,,,,
242,USGS,330428079214800,2017-05-30,,,,,,
243,USGS,330428079214800,2017-05-31,,,,,,
244,USGS,330428079214800,2017-06-01,,,,,,
245,USGS,330428079214800,2017-06-02,,,,,,
246,USGS,330428079214800,2017-06-03,,,,,,
247,USGS,330428079214800,2017-06-04,,,,,,
248,USGS,330428079214800,2017-06-05,,,,,,
249,USGS,330428079214800,2017-06-06,,,,,,
250,USGS,330428079214800,2017-06-07,,,,,,
251,USGS,330428079214800,2017-06-08,,,,,,
252,USGS,330428079214800,2017-06-09,,,,,,
253,USGS,330428079214800,2017-06-10,,,,,,
254,USGS,330428079214800,2017-06-11,,,,,,
255,USGS,330428079214800,2017-06-12,,,,,,
256,USGS,330428079214800,2017-06-13,,,,,,
257,USGS,330428079214800,2017-06-14,,,,,,
258,USGS,330428079214800,2017-06-15,,,,,,
259,USGS,330428079214800,2017-06-16,,,,,,
260,USGS,330428079214800,2017-06-17,,,,,,
261,USGS,330428079214800,2017-06-18,,,,,,
262,USGS,330428079214800,2017-06-19,,,,,,
263,USGS,330428079214800,2017-06-20,,,,,,
264,USGS,330428079214800,2017-06-21,,,,,,
265,USGS,330428079214800,2017-06-22,,,,,,
266,USGS,330428079214800,2017-06-23,,,,,,
267,USGS,330428079214800,2017-06-24,,,,,,
268,USGS,330428079214800,2017-06-25,,,,,,
269,USGS,330428079214800,2017-06-26,,,,,,
270,USGS,330428079214800,2017-06-27,,,,,,
271,USGS,330428079214800,2017-06-28,,,,,,
272,USGS,330428079214800,2017-06-29,,,,,,
273,USGS,330428079214800,2017-06-30,,,,,,
274,USGS,330428079214800,2017-07-01,,,,,,
275,USGS,330428079214800,2017-07-02,,,,,,
276,USGS,330428079214800,2017-07-03,,,,,,
277,USGS,330428079214800,2017-07-04,,,,,,
278,USGS,330428079214800,2017-07-05,,,,,,
279,USGS,330428079214800,2017-07-06,,,,,,
280,USGS,330428079214800,2017-07-07,,,,,,
281,USGS,330428079214800,2017-07-08,,,,,,
282,USGS,330428079214800,2017-07-09,,,,,,
283,USGS,330428079214800,2017-07-10,,,,,,
284,USGS,330428079214800,2017-07-11,,,,,,
285,USGS,330428079214800,2017-07-12,,,,,,
286,USGS,330428079214800,2017-07-13,,,,,,
287,USGS,330428079214800,2017-07-14,,,,,,
288,USGS,330428079214800,2017-07-15,,,,,,
289,USGS,330428079214800,2017-07-16,,,,,,
290,USGS,330428079214800,2017-07-17,,,,,,
291,USGS,330428079214800,2017-07-18,,,,,,
292,USGS,330428079214800,2017-07-19,,,,,,
293,USGS,330428079214800,2017-07-20,7.91,,,,4.47,11.37
294,USGS,330428079214800,2017-07-21,7.91,,,,4.21,11.56
295,USGS,330428079214800,2017-07-22,7.66,,,,3.80,11.46
296,USGS,330428079214800,2017-07-23,7.39,,,,4.04,10.90
297,USGS,330428079214800,2017-07-24,7.19,,,,3.84,10.81
298,USGS,330428079214800,2017-07-25,7.33,,,,4.06,10.79
299,USGS,330428079214800,2017-07-26,7.68,,,,4.54,10.97
300,USGS,330428079214800,2017-07-27,7.73,,,,5.03,10.31
301,USGS,330428079214800,2017-07-28,7.56,,,,5.09,10.20
302,USGS,330428079214800,2017-07-29,7.31,,,,4.97,9.82
303,USGS,330428079214800,2017-07-30,7.98,,,,5.38,10.24
304,USGS,330428079214800,2017-07-31,8.48,,,,6.16,10.75
305,USGS,330428079214800,2017-08-01,8.40,,,,6.36,10.55
306,USGS,330428079214800,2017-08-02,7.99,,,,5.94,10.23
307,USGS,330428079214800,2017-08-03,7.87,,,,5.69,10.10
308,USGS,330428079214800,2017-08-04,7.64,,,,5.15,10.16
309,USGS,330428079214800,2017-08-05,7.49,,,,5.07,10.06
310,USGS,330428079214800,2017-08-06,7.57,,,,5.14,10.39
311,USGS,330428079214800,2017-08-07,7.59,,,,5.14,10.26
312,USGS,330428079214800,2017-08-08,7.28,,,,4.60,10.30
313,USGS,330428079214800,2017-08-09,7.67,,,,4.85,10.74
314,USGS,330428079214800,2017-08-10,7.87,,,,5.15,10.54
315,USGS,330428079214800,2017-08-11,7.74,,,,5.07,10.30
316,USGS,330428079214800,2017-08-12,7.57,,,,4.97,10.00
317,USGS,330428079214800,2017-08-13,7.31,,,,4.62,9.89
318,USGS,330428079214800,2017-08-14,7.55,,,,4.82,10.29
319,USGS,330428079214800,2017-08-15,7.88,,,,4.96,12.04
320,USGS,330428079214800,2017-08-16,7.75,31.5,30.3,32.9,4.74,10.86
321,USGS,330428079214800,2017-08-17,7.96,31.5,30.7,32.6,5.00,10.94
322,USGS,330428079214800,2017-08-18,7.90,31.1,29.9,32.7,4.56,11.18
323,USGS,330428079214800,2017-08-19,7.68,31.1,29.6,32.5,4.11,11.15
324,USGS,330428079214800,2017-08-20,7.83,31.3,29.0,32.9,4.30,11.44
325,USGS,330428079214800,2017-08-21,7.84,30.9,28.2,31.8,4.29,11.25
326,USGS,330428079214800,2017-08-22,7.81,30.9,29.8,32.8,4.39,11.07
327,USGS,330428079214800,2017-08-23,7.65,30.7,29.7,32.6,4.45,10.77
328,USGS,330428079214800,2017-08-24,7.90,30.2,29.2,31.6,4.81,10.87
329,USGS,330428079214800,2017-08-25,8.17,29.6,28.7,30.8,4.93,10.76
330,USGS,330428079214800,2017-08-26,8.43,29.0,28.3,30.2,5.73,10.78
331,USGS,330428079214800,2017-08-27,8.83,27.6,26.6,28.4,6.55,11.05
332,USGS,330428079214800,2017-08-28,8.95,25.5,25.1,26.6,6.76,11.21
333,USGS,330428079214800,2017-08-29,8.31,25.4,24.8,26.2,6.45,10.31
334,USGS,330428079214800,2017-08-30,8.49,25.8,24.6,27.2,6.72,10.63
335,USGS,330428079214800,2017-08-31,8.39,27.3,25.8,28.9,6.55,10.57
336,USGS,330428079214800,2017-09-01,8.09,28.7,27.5,29.7,5.87,10.28
337,USGS,330428079214800,2017-09-02,8.06,28.4,27.7,29.1,5.48,10.73
338,USGS,330428079214800,2017-09-03,8.01,28.0,27.0,29.1,5.46,10.47
339,USGS,330428079214800,2017-09-04,8.01,28.1,27.0,29.6,5.45,10.92
340,USGS,330428079214800,2017-09-05,8.03,28.2,27.4,29.5,5.32,10.84
341,USGS,330428079214800,2017-09-06,7.82,27.4,26.6,28.1,5.03,10.50
342,USGS,330428079214800,2017-09-07,7.92,26.3,25.6,27.5,4.77,10.84
343,USGS,330428079214800,2017-09-08,8.14,25.7,24.6,27.3,4.91,11.04
344,USGS,330428079214800,2017-09-09,8.66,24.5,23.8,25.3,5.68,11.48
345,USGS,330428079214800,2017-09-10,8.98,22.7,22.1,23.9,6.03,11.52
346,USGS,330428079214800,2017-09-11,10.23,22.3,21.4,23.5,7.08,13.22
347,USGS,330428079214800,2017-09-12,8.69,24.6,23.1,26.6,5.76,12.07
348,USGS,330428079214800,2017-09-13,8.11,25.7,23.9,27.5,5.43,11.03
349,USGS,330428079214800,2017-09-14,8.10,26.9,25.6,28.1,5.43,11.07
350,USGS,330428079214800,2017-09-15,8.01,27.4,26.1,29.0,5.13,10.95
351,USGS,330428079214800,2017-09-16,8.25,27.5,26.5,28.3,5.10,11.35
352,USGS,330428079214800,2017-09-17,8.66,27.0,26.2,27.9,5.57,11.79
353,USGS,330428079214800,2017-09-18,8.71,27.0,26.2,28.3,5.41,11.84
354,USGS,330428079214800,2017-09-19,8.62,27.3,26.3,28.5,5.28,11.70
355,USGS,330428079214800,2017-09-20,8.51,27.9,26.8,29.4,5.28,11.42
356,USGS,330428079214800,2017-09-21,8.44,28.4,27.4,30.2,5.35,11.28
357,USGS,330428079214800,2017-09-22,8.38,28.5,26.1,30.2,5.42,11.23
358,USGS,330428079214800,2017-09-23,8.43,28.6,27.6,29.8,5.93,10.98
359,USGS,330428079214800,2017-09-24,8.85,27.9,27.2,28.7,6.52,11.27
360,USGS,330428079214800,2017-09-25,8.94,27.0,26.2,27.6,6.78,11.19
361,USGS,330428079214800,2017-09-26,8.89,27.0,25.7,28.6,6.81,11.14
362,USGS,330428079214800,2017-09-27,8.81,27.9,26.8,29.4,6.77,10.98
363,USGS,330428079214800,2017-09-28,8.71,28.7,27.4,30.1,6.97,10.80
364,USGS,330428079214800,2017-09-29,8.52,28.8,28.0,29.5,6.61,10.54
365,USGS,330428079214800,2017-09-30,8.66,27.1,25.6,28.4,6.62,10.73
