,agency_cd,site_no,datetime,Gage height_Mean
332,USGS,02177000,2017-08-28,1.40
333,USGS,02177000,2017-08-29,1.35
334,USGS,02177000,2017-08-30,1.34
335,USGS,02177000,2017-08-31,1.54
336,USGS,02177000,2017-09-01,1.90
337,USGS,02177000,2017-09-02,1.97
338,USGS,02177000,2017-09-03,1.62
339,USGS,02177000,2017-09-04,1.52
340,USGS,02177000,2017-09-05,1.47
341,USGS,02177000,2017-09-06,1.72
342,USGS,02177000,2017-09-07,1.67
343,USGS,02177000,2017-09-08,1.54
344,USGS,02177000,2017-09-09,1.48
345,USGS,02177000,2017-09-10,1.45
346,USGS,02177000,2017-09-11,1.47
347,USGS,02177000,2017-09-12,2.11
348,USGS,02177000,2017-09-13,2.16
349,USGS,02177000,2017-09-14,1.89
350,USGS,02177000,2017-09-15,1.75
351,USGS,02177000,2017-09-16,1.66
352,USGS,02177000,2017-09-17,1.61
353,USGS,02177000,2017-09-18,1.56
354,USGS,02177000,2017-09-19,1.53
355,USGS,02177000,2017-09-20,1.50
356,USGS,02177000,2017-09-21,1.50
357,USGS,02177000,2017-09-22,1.51
358,USGS,02177000,2017-09-23,1.44
359,USGS,02177000,2017-09-24,1.42
360,USGS,02177000,2017-09-25,1.40
361,USGS,02177000,2017-09-26,1.38
362,USGS,02177000,2017-09-27,1.37
363,USGS,02177000,2017-09-28,1.35
364,USGS,02177000,2017-09-29,1.34
365,USGS,02177000,2017-09-30,1.34
