STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160323,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160324,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160328,0.83, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160329,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160330,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160331,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160403,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160408,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160409,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160412,0.37, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160415,0.07, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160416,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160417,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160418,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160419,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160420,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160421,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160422,0.61, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160428,0.16, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160429,0.06, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160430,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160501,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160506,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160507,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160508,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160509,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160510,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160512,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160513,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160514,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160516,0.26, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160517,0.39, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160518,0.02, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160519,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160520,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160523,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
